Transaction_ID,Date,Time,Merchant_ID,Customer_ID,Device_ID,Transaction_Type,Payment_Gateway,Transaction_City,Transaction_State,IP_Address,Transaction_Status,Device_OS,Transaction_Frequency,Merchant_Category,Transaction_Channel,Transaction_Amount_Deviation,Days_Since_Last_Transaction,amount,fraud
T10000029,13/10/23,03:58:58,b00c61c9-1109-4af7-b429-c155895981db,5e2cba7c-a75c-477a-9d2b-b78d2c90a193,070b9d54-2a65-41e0-829a-e8bc9215904b,Subscription,SamplePay,Mira-Bhayandar,Tamil Nadu,195.19.240.44,Failed,iOS,2,Financial services and Taxes,Online,-73.85700386956208,17,31.91760197220979,0
T10000030,14/08/23,05:45:25,608a8a55-9cb8-4cca-8581-c8c89f875b2a,5fe2cc0e-d859-46d2-b9dc-474914aec1bb,db7e9670-3f9d-45db-b551-37368aef03c7,Bank Transfer,Gamma Bank,Ozhukarai,Nagaland,24.140.154.72,Pending,Windows,2,Purchases,Online,-63.774639812286324,13,39.64041253790922,0
T10000031,16/04/23,09:05:58,c6ce37eb-332d-4e4f-995f-fba48d4dedb9,690bd64f-5c83-41b8-873a-57c9bc6bb132,668b172d-b1ab-438b-9650-358bc8d48494,Bill Payment,Other,Mumbai,Arunachal Pradesh,27.48.57.181,Failed,Android,1,More Services,Online,-49.935499306680306,15,6.57753573353719,0
T10000032,22/09/23,06:24:32,2c7de2f3-e59c-407c-8695-fe7e3a3a64eb,dbda73cc-8fab-47ee-b08d-6551312de291,ef402dc1-a3b6-4088-ba56-2526dfa22e72,Purchase,UPI Pay,Ozhukarai,Assam,153.35.154.143,Failed,Android,2,Investment,Online,-83.0794068525732,10,1.9886570261385754,0
T10000033,18/05/23,02:23:23,b45cb409-14b9-4671-939d-3750fadddb42,9a139c42-27f5-4c7c-9213-d2b65c6ae3a5,4ef40f13-b7d2-4a6c-9c79-28dba5881f0d,Bill Payment,Alpha Bank,Malda,Chhattisgarh,54.203.107.116,Completed,MacOS,0,Donations and Devotion,Mobile,51.838561554547724,8,29.824634142358935,0
T10000034,10/07/23,10:24:08,9a42ad16-d70b-4818-93c7-6e63fded1f3a,8bbb1280-025e-4a5f-ba71-59c4ce83fac5,bbce50d7-065a-4540-bd4f-dd85a222e815,Investment,Bank of Data,Delhi,Tamil Nadu,211.78.169.25,Completed,iOS,0,Home delivery,Mobile,42.0378254281132,17,3.925049715931451,1
T10000035,23/06/23,01:11:44,5c63c884-16a3-48f7-a444-c2edd380a306,d3d99d49-d968-4d4a-a49f-770ee4fcf655,cc2ba0ee-a0a9-468d-bcb0-1b7fa9595560,Purchase,SamplePay,Madhyamgram,Odisha,219.38.167.69,Failed,Android,1,Investment,Mobile,103.0467248414425,26,41.18268987561355,0
T10000036,18/09/23,05:29:20,c19effdf-8f48-4809-abf8-3095e499f0c6,99451b09-53c5-4d54-aa5c-365f442e10d1,43116788-4d05-4807-bd19-37641400a345,Investment,Alpha Bank,Bardhaman,Kerala,175.51.162.194,Pending,MacOS,1,Brand Vouchers and OTT,In-store,66.99365173290855,18,25.746092220036058,0
T10000037,24/02/24,09:51:50,ada12351-83d6-4add-b878-bb4db9abd247,d239de56-87e8-453f-a34e-6301bac74976,5cee7bd9-bca6-4f76-a06d-44d8cde9ffa8,Investment,Bank of Data,Kakinada,Telangana,63.7.68.137,Completed,iOS,0,Donations and Devotion,Mobile,67.00908310709129,9,24.607009951027987,0
T10000038,13/10/23,02:52:09,ab821d54-860c-439b-b5c9-45d2b19d1fc9,f40cab69-20ca-4aee-be4a-9706423d9246,322587b6-8679-4a3b-bebc-68249d2bd675,Bill Payment,Bank of Data,Bhatpara,Madhya Pradesh,5.86.12.17,Completed,Android,3,Brand Vouchers and OTT,Mobile,63.385044865799216,2,401.7147412509747,1
T10000039,30/07/23,07:51:00,f19dd88b-b149-4a62-8b5a-2aca1763bc6f,837f03e7-2547-4c06-bf11-2d50111b89de,f7f47eab-baa7-4d75-a4cd-7d2f93a68f43,Other,Other,Mirzapur,Chhattisgarh,90.39.80.14,Pending,MacOS,2,Investment,Online,-30.921074869102007,21,27.437435988928208,0
T10000040,30/04/23,10:59:19,7aabe262-6679-4f5a-b330-2dc350df4d62,3ab7ddeb-495f-4bd4-87a9-5d995bc61726,e13037ee-94a8-4873-8ad2-ae7005ce4b21,Investment,Alpha Bank,Gandhinagar,Madhya Pradesh,177.122.231.94,Failed,Windows,2,Utilities,In-store,-71.5618370827949,17,16.36265013161638,0
T10000041,25/06/23,03:58:14,c15da19b-9ee0-4479-b1df-d9b1bf1d5fcd,e30e8c38-f646-4968-ab7f-28bc8dc5231c,27c61149-59cb-4053-b193-c6672e2f281f,Refund,UPI Pay,Avadi,Tamil Nadu,101.248.130.118,Completed,Android,4,Home delivery,Mobile,-34.16969006945099,18,0.5547126277327242,0
T10000042,04/06/23,11:34:46,dc5154a2-e8eb-4a97-844d-3f273fa34995,dc54c10d-5558-4f78-9cb0-36d7614a06b8,2bb10d27-057b-4990-9a2c-9db0ad0524e5,Investment,CReditPAY,Jabalpur,Goa,111.207.242.244,Completed,iOS,0,Brand Vouchers and OTT,In-store,2.0249005323300318,21,51.03318868325058,0
T10000043,24/03/24,06:08:26,0fbb0883-3ae0-418d-a1b9-44fee50ae396,ed189f60-7e8d-4e59-802e-256c66683e6b,5236021b-4794-4ac8-b153-3c45a0c7a0c9,Subscription,SamplePay,Parbhani,Nagaland,212.94.27.107,Failed,iOS,2,Utilities,Online,35.27875741310759,24,26.820047318455185,0
T10000044,13/11/23,03:55:34,a39b1616-5988-4dd6-86d2-bb2bda402d39,4e2247ce-6858-4091-8067-871afca6572a,8397fa05-a4f6-4fb5-a1ae-a2839add1eb3,Refund,UPI Pay,Suryapet,Kerala,66.9.215.132,Pending,iOS,1,Utilities,Online,56.43584254322392,15,0.25003995313003974,0
T10000045,11/04/24,10:20:23,9d40b579-b71e-4d16-8917-fce4ecdf9183,108391b3-9545-49f8-be38-e356e64e8912,9a6daf2d-c57f-4dbd-ae2b-86d49a9d60e3,Bank Transfer,Dummy Bank,Ichalkaranji,Assam,165.92.164.116,Completed,iOS,2,Brand Vouchers and OTT,In-store,-13.21887011748095,25,48.778794152761385,0
T10000046,19/03/24,12:11:56,ff7a292d-51eb-45db-b5c3-7c5da5d34add,0e00a154-c2d0-41af-834b-b8d27e39c4cf,b02b82e6-81fd-41d8-9d81-81ce95f3e890,Investment,Dummy Bank,Gurgaon,Nagaland,194.45.0.63,Pending,MacOS,0,Investment,Mobile,43.68543123319809,1,15.953888443511332,0
T10000047,25/09/23,11:53:36,99b5d4bf-a5ca-4f8b-816a-2ab848a82909,43635339-ec67-440b-8259-c723b1152140,b70bbd9b-19fa-4b9b-8f17-ce5bb48c1436,Subscription,Alpha Bank,Rohtak,Sikkim,85.121.87.192,Pending,iOS,2,Home delivery,Mobile,73.71720642473645,26,77.86923799255754,0
T10000048,09/10/23,04:42:30,f8646280-51e6-4788-8848-ef2e34c9d9b2,9e4dbf6b-6451-4ce4-9873-ec873b397ed9,4fd3ad1d-a9dc-47cb-b78b-c78dc1de2d2e,Purchase,CReditPAY,Madhyamgram,Manipur,191.81.234.222,Pending,Android,5,Utilities,Online,-81.04500478543572,3,17.48533991988409,0
T10000049,22/09/23,02:25:47,885bed93-b256-49f7-a82a-16743e453c8c,ebb90f27-c07d-42c4-b7e7-f5efa7e620ff,bad9601f-bc39-4a6b-a423-5ad8a70ae80b,Purchase,Sigma Bank,Machilipatnam,Andhra Pradesh,89.95.219.142,Completed,Windows,4,More Services,Online,3.1010094479089516,26,19.230874156169996,0
T10000050,17/07/23,06:26:57,1ef26598-18a5-4c28-ae6f-341190c1d932,a7289405-bbf9-4364-947f-78f6bbb20987,dc9d6f17-a9ac-441b-ac94-9884a5f4baaf,Investment,Gamma Bank,Kolkata,Gujarat,29.232.17.183,Pending,iOS,1,Investment,Mobile,56.005712226912344,28,84.41608276688129,1
T10000051,08/03/24,05:17:13,e830b34c-3f3a-4176-9c1a-912586c6c798,60f935bb-fd98-4a80-a182-3dc94df01349,583358ff-a335-41f7-a739-03acb9c93285,Refund,Gamma Bank,Hospet,Rajasthan,43.103.178.5,Completed,Windows,10,More Services,Mobile,89.44442080576563,28,37.336995879227544,0
T10000052,22/03/24,01:26:29,a5e75ca0-f2b7-4614-b0be-38fe214a525a,5a25b897-6b2b-4d66-96b0-49729cec19bd,9b60c64d-05b0-4df6-96da-b79f1ee352ed,Bill Payment,UPI Pay,Ambattur,Tamil Nadu,137.254.69.190,Failed,MacOS,3,Utilities,Online,21.676119846172707,9,29.496678566532953,0
T10000053,06/12/23,11:31:33,17ea20eb-fcdd-4081-9fee-e7d1613cadba,32df6abe-14ab-447e-9b1c-04fcc5b557e4,e760b43f-29ad-4f68-93f4-6c5f65fb8d7e,Subscription,Sigma Bank,Ulhasnagar,Haryana,199.204.65.197,Pending,iOS,0,Other,Online,-42.533810915885404,7,6.64726560315118,0
T10000054,09/12/23,03:04:17,ea33f52a-70fc-4c20-91f6-97ba870d2ed9,708e60c0-9edd-4b85-ab26-3d2b7dfce6c4,be86db5b-8433-4342-aee7-1f8056413e9a,Bank Transfer,Sigma Bank,Ahmedabad,Jharkhand,111.131.98.87,Completed,Windows,0,Financial services and Taxes,Mobile,9.468525893141704,16,36.467753172007974,0
T10000055,12/03/24,04:29:37,4fa282e6-1559-4e12-bb2e-cb75751348e2,74cc49fe-5096-4fc0-bdc3-4cfb74072c75,2fb11bfd-6adf-438d-a9a1-0ff200ad318d,Bank Transfer,Gamma Bank,Suryapet,Gujarat,201.120.209.67,Failed,iOS,20,Travel bookings,Online,12.67845494947706,3,21.935981564833778,0
T10000056,11/09/23,05:34:46,db8a84d1-cd4c-40af-8b32-b294a2002370,bf90868c-8149-4ec4-af11-2de62854a959,03f19362-42ca-42b8-8b94-ad99a68c9869,Investment,Gamma Bank,Burhanpur,Mizoram,98.103.86.192,Pending,Android,1,Brand Vouchers and OTT,In-store,98.26901867264199,15,208.39267021743058,1
T10000057,06/12/23,10:41:33,3ce0f443-b84d-48fe-9ed2-d31c883ea92e,a1dbe6a9-9f47-4934-be9e-84d557171aee,69e5acf2-620b-4ef1-ac0e-9270d2ade4ab,Other,Alpha Bank,Hosur,Tripura,13.54.158.134,Pending,Windows,8,Financial services and Taxes,Mobile,85.68640700119748,0,693.0664974009769,1
T10000058,01/11/23,02:33:59,b9fa15e1-a280-4079-9ce0-c50e3382e5ec,7ed84450-227a-41db-895f-6a66ddb6cd3a,ea429c28-e01e-4168-9374-4f5296e18b5e,Purchase,SamplePay,Bardhaman,Punjab,180.16.71.179,Failed,MacOS,2,Home delivery,Online,55.746990281235355,13,39.07668831515765,0
T10000059,01/03/24,11:39:23,ef3e6b2e-c2e5-4f44-9433-5600128faef7,cd197c4c-8e8c-4625-ac6c-8399c200bbf1,02cf97ca-e286-47a2-88c9-c90e89670b1b,Subscription,UPI Pay,Tirupati,Punjab,1.195.96.95,Pending,iOS,0,Financial services and Taxes,In-store,-17.189117374031376,16,18.83603952415588,0
T10000060,06/08/23,08:37:27,bfb2efd6-fa7c-41ac-860a-2244630b74b7,ea59b8d9-b345-42b9-a15b-18180166cf55,23629104-1ff4-4781-8dde-55cf084ea1b7,Purchase,Alpha Bank,Kozhikode,Sikkim,133.251.143.181,Failed,Windows,4,More Services,Online,-21.609734063423403,14,38.4462663385637,0
T10000061,20/02/24,05:22:31,66e06e72-bacf-4f35-be6f-a9b5d78c4124,d7fd40b2-be30-4258-80d3-420d217ed7cc,a03ffa5a-7221-42df-90ec-e93749f842e7,Bill Payment,Dummy Bank,Akola,Himachal Pradesh,8.95.188.241,Completed,MacOS,1,Purchases,In-store,-84.04490493246576,19,44.93892544092646,0
T10000062,25/09/23,04:41:43,6a400379-6d89-49e8-9911-007438f775a9,abaf8f0b-f2a7-45f3-984d-d3f2c90859de,94f79a54-45f8-4b17-bb19-1e36dca25d92,Bank Transfer,Other,Vijayawada,Himachal Pradesh,144.229.52.16,Pending,Windows,2,Investment,Mobile,-63.46845211437267,18,36.94656195833121,0
T10000063,18/11/23,11:17:23,1cab6739-a8b2-4062-ab58-18a6661dab4a,d0f382b5-5eb8-47d4-b226-8cb8081775ba,90c410e8-ed88-4afc-bae3-b561f1f25613,Bill Payment,Sigma Bank,Sasaram,Karnataka,169.217.180.89,Completed,Windows,3,Donations and Devotion,Online,-2.970014803337562,6,605.6231751549218,1
T10000064,13/06/23,02:52:51,1ece679d-cc1d-4f90-bce5-fba448db32bb,4ad0d81b-da6f-4d3f-b644-3579f252d94a,7de44ca3-e14c-4dde-959e-4d97c0c44b3d,Subscription,CReditPAY,Adoni,Manipur,83.249.97.20,Pending,Android,0,More Services,In-store,18.522055661031256,13,42.79055309084247,0
T10000065,24/02/24,08:59:34,9ab8cc22-6867-4db6-b178-cb22e19cddd0,02c2b318-aec0-4855-bf86-37626200b062,8f0e3e89-c161-4369-bf3c-3c8cabbf7927,Investment,CReditPAY,Malda,Uttar Pradesh,90.31.163.179,Pending,MacOS,2,More Services,In-store,74.9033081514265,26,17.86449478389949,0
T10000066,29/11/23,08:04:50,3c0c7334-68fe-4f77-99c1-f45a25f9ccad,9c95d9bf-0132-4c9c-b358-c11c263ba3df,9544b653-f6a5-4482-b8d4-e2b3ae0104de,Refund,Other,Indore,Karnataka,126.44.207.25,Failed,Android,1,More Services,Mobile,-15.518569403979207,7,28.6763774350459,0
T10000067,12/02/24,05:41:01,d60d323e-acf7-4eb0-93ed-c548f9008251,e40c4a73-24a9-4e8a-98b7-9e9d49322591,b499f7e8-069f-495c-8d5a-6321bc0ad515,Subscription,Other,New Delhi,Uttarakhand,59.237.89.52,Completed,MacOS,4,Investment,Mobile,-14.834485075578574,24,57.91724196593726,0
T10000068,27/06/23,08:26:18,7c487999-5804-4f86-92ed-a40350eb6ab1,bad0fc7a-9859-4bfa-adf3-dba9064b94a0,b666db07-7279-4c46-b328-523f8d0c2145,Refund,CReditPAY,Serampore,Nagaland,203.160.7.155,Failed,iOS,0,Home delivery,In-store,8.003510433004893,25,48.969734640239565,0
T10000069,30/01/24,11:45:04,c3916cec-4dde-47a4-bca9-4393943395a5,bafcc866-3dff-41b4-af4b-cbac1e31ceee,2c134c08-1610-4f9d-ad91-a66a4fddcd4a,Other,Sigma Bank,Baranagar,Karnataka,221.148.115.213,Failed,MacOS,1,Brand Vouchers and OTT,In-store,99.14657387417203,25,2.322585629447385,0
T10000070,28/04/23,11:51:38,7498fd87-da5e-42bb-8f05-0996258a7142,19493a33-20f6-49ab-b1e8-9b82b3057241,99ff7d16-221a-44c6-8d6f-e9f0fa3793cd,Refund,Other,Patna,Assam,109.97.30.219,Failed,Windows,0,Home delivery,Online,-19.159378176900038,23,27.844208490532754,0
T10000071,02/05/23,01:38:23,493cd223-ac3d-4b3d-b583-1a2946dbd3f0,ece0206c-5194-40c4-9208-036eea769c49,3f8c4b2f-b978-4f1d-bb24-061440a6386f,Purchase,Sigma Bank,Pali,Bihar,221.5.53.133,Pending,iOS,0,Other,Online,-41.93805738831909,12,28.591743541983575,0
T10000072,05/01/24,10:25:29,462c5bd9-3114-44be-839f-fce1935e1493,41c6ad17-242f-44ac-90f4-3409541e4e08,5d012f71-b0a6-4c24-aa31-6da202826fac,Subscription,CReditPAY,Ambala,Goa,202.240.197.6,Failed,Windows,10,Purchases,Online,-89.78841892060039,14,6.368571493523925,0
T10000073,22/08/23,09:18:10,845d55c1-ac1b-4be9-8d09-46aec6a30705,c0d781f9-3f6c-4342-b810-a1aad887981c,0b20cd97-4bac-459e-95a2-7285186f472e,Other,CReditPAY,Kochi,Rajasthan,192.88.21.37,Pending,Android,10,Donations and Devotion,Online,-11.07934966120029,21,43.226328208079174,0
T10000074,28/02/24,09:49:17,7181ff78-8d21-4a6e-aae9-9d34cafe7e14,0f4c2865-0c36-46d5-81d8-8c9fc2f287c3,e87a33d8-e24b-4d92-b555-befbed7c3418,Purchase,CReditPAY,Udupi,Meghalaya,150.65.182.108,Pending,Windows,3,Travel bookings,Online,40.354543188365746,28,18.310098532841454,0
T10000075,19/10/23,06:09:55,59057615-c3ce-46a1-92d6-d63fb7d0a245,54db1a0a-928e-4661-a1da-ab91d308c7fd,95fb7ce9-cc53-4c08-a3ba-f0655db4a6b3,Bill Payment,Bank of Data,Bareilly,Mizoram,147.78.89.240,Pending,MacOS,1,Travel bookings,Online,-37.19111272947818,13,25.787926251668715,0
T10000076,13/06/23,05:14:19,48af9f99-0862-4b71-bfe3-aa2601649622,d2b1c294-fb54-4c02-b0f8-a019b2199c5e,15d194ff-e27f-4841-9d2c-ee72fefb5ec9,Subscription,Bank of Data,Kamarhati,Bihar,147.104.247.240,Failed,Windows,4,More Services,Online,-43.6494765694386,20,240.66291092456152,1
T10000077,05/01/24,03:21:32,d401674d-f48b-469c-9012-4960b803909c,3270ae00-c5e8-4cce-8bc5-a0093b71b017,1e20df5d-0e65-4842-b510-5bcd051fa9bd,Subscription,SamplePay,Satna,Goa,65.34.218.76,Failed,Android,6,Brand Vouchers and OTT,Online,-59.313691921389406,28,496.1497988858676,1
T10000078,03/06/23,12:45:46,7f79a310-eda9-4d1b-acc4-7250f14e0a0b,86529ae0-3cef-44ef-9248-d9332405e63c,6c1f6f88-1053-4e2d-bbb2-e297d159532e,Refund,Bank of Data,Tinsukia,Assam,110.8.91.224,Pending,MacOS,3,Brand Vouchers and OTT,Mobile,-79.34781891700695,18,28.741263790834036,0
